,brand,jenis,bentuk_formula
981,Pomi,Hayati Majemuk,Cair (Liquid)
982,Kenfolan,Lainnya,Cair (Liquid)
983,OKURA EMAS,NPK padat,Butiran (Granular)
984,fossil fertilizer,Pupuk Organik,Cair (Liquid)
985,SUNLAND,Pupuk Organik,Cair (Liquid)
986,Apdil Apdilah Fertilizer,Lainnya,Butiran (Granular)
987,Mega_Bio Bac-Mix,Hayati Tunggal,Cair (Liquid)
988,GODHONG PRIMA,NPK padat,Butiran (Granular)
989,PILLOW,Lainnya,Tepung (Powder)
990,KELOPAK DUNIA,Fosfat Alam untuk pertanian,Butiran (Granular)
991,SUPER PADI-27,Fosfat Alam untuk pertanian,Butiran (Granular)
992,BUAMAX,Kalium Klorida (KCl),Butiran (Granular)
993,SanBlend,NPK padat,Butiran (Granular)
994,ACCUDO,Hayati Tunggal,Cair (Liquid)
995,KERETA MAS,Dolomit,Butiran (Granular)
996,Anjani,Hayati Majemuk,Tepung (Powder)
997,MOKAP plus,Lainnya,Cair (Liquid)
998,Agroma,Hayati Majemuk,Cair (Liquid)
999,Mahkota,Lainnya,Butiran (Granular)
1000,PHOSGRO,Lainnya,Butiran (Granular)
1001,BESTBLEND,Lainnya,Butiran (Granular)
1002,BREXIL COMBI,Pupuk Organik,Tepung (Powder)
1003,HARACOAT MX,NPK padat,Butiran (Granular)
1004,CAP KUDA SAKTI,Amonium Sulfat (ZA),Butiran (Granular)
1005,COMPO NUTRIMIX,Lainnya,Tepung (Powder)
1006,LABA GREEN,Hara Makro Majemuk,Cair (Liquid)
1007,LOGO,Kalium Klorida (KCl),Butiran (Granular)
1008,windaa,Lainnya,Tepung (Powder)
1009,GLB,Hayati Majemuk,Tepung (Powder)
1010,JENGGER,Pupuk Organik,Cair (Liquid)
1011,AKASIA,NPK padat,Butiran (Granular)
1012,Folikel Zn-EDTA,Hara Micro Tunggal,Butiran (Granular)
1013,FORESTAN,Dolomit,Butiran (Granular)
1014,BANANAS,Hayati Majemuk,Cair (Liquid)
1015,SanBlend,Lainnya,Butiran (Granular)
1016,BIONATURE,Hayati Majemuk,Cair (Liquid)
1017,PETANI MUDA MULTIHARA,Dolomit,Butiran (Granular)
1018,FT,Lainnya,Tepung (Powder)
1019,Frensoil,Organik,Butiran (Granular)
1020,GAL-Xe-One,NPK padat,Butiran (Granular)
1021,NITROKU,NPK padat,Butiran (Granular)
1022,HIDROP B2,NPK padat,Tepung (Powder)
1023,ULTRA STRON9,Pupuk Organik,Tepung (Powder)
1024,PAK TANI,Kalium Klorida (KCl),Tepung (Powder)
1025,LOONGZOU,Kalium Klorida (KCl),Tepung (Powder)
1026,CAKRA PANDAWA,Lainnya,Tepung (Powder)
1027,FERBIO,Pupuk Organik,Cair (Liquid)
1028,KAKIMAS,Kaptan,Tepung (Powder)
1029,TrueBoost,Senyawa Humat,Tepung (Powder)
1030,MENTARI,Fosfat Alam untuk pertanian,Tepung (Powder)
1031,TRICHO-CELE,Hayati Tunggal,Cair (Liquid)
1032,Print.Sip,Hara Makro Majemuk,Cair (Liquid)
1033,KEBOMAS,NPK padat,Butiran (Granular)
1034,DYNA GROW,Pupuk Organik,Cair (Liquid)
1035,CIPMAPE KALIONIK,Lainnya,Butiran (Granular)
1036,FENG SHOU,Hayati Majemuk,Tepung (Powder)
1037,LABA - LABA,Dolomit,Butiran (Granular)
1038,BEUNTEUR,Lainnya,Cair (Liquid)
1039,AGROBLEN,NPK padat,Butiran (Granular)
1040,Bio Agro Farm,Pupuk Organik,Cair (Liquid)
1041,PAK TANI,NPK padat,Butiran (Granular)
1042,NutriTop,NPK padat,Tepung (Powder)
1043,Tunasemi,Pupuk Organik,Cair (Liquid)
1044,Megarhizo,Pupuk Organik,Cair (Liquid)
1045,GOLD DGW,NPK padat,Butiran (Granular)
1046,Neosoil,Senyawa Humat,Cair (Liquid)
1047,MerokeTSP,Triple Super Fosfat (TSP),Butiran (Granular)
1048,CAKRA,Lainnya,Butiran (Granular)
1049,BIOPHOSGANIK,Pupuk Organik,Butiran (Granular)
1050,DAKARZ,Hayati Majemuk,Cair (Liquid)
1051,PETRO NINGRAT,NPK padat,Butiran (Granular)
1052,UTAH,NPK padat,Butiran (Granular)
1053,SiNutriHS,NPK padat,Butiran (Granular)
1054,SA-MICRO 20B,Lainnya,Butiran (Granular)
1055,KT KUNCI TANI,Pupuk Organik,Lain-lainnya
1056,MOAF,Pupuk Organik,Tepung (Powder)
1057,AKP,Lainnya,Tepung (Powder)
1058,GreenWay,Organik,Tepung (Powder)
1059,No-Sam-Ta,Pupuk Organik,Cair (Liquid)
1060,FERTINDO,NPK padat,Butiran (Granular)
1061,MEGAFOL,Pupuk Organik,Cair (Liquid)
1062,GRAND K-KRISTAL,Hara Makro Majemuk,Lain-lainnya
1063,Daun Sawit,Triple Super Fosfat (TSP),Butiran (Granular)
1064,CIPMAPE,Dolomit,Tepung (Powder)
1065,BINTANG TANI,Lainnya,Tepung (Powder)
1066,LAO YING,Hara Makro Majemuk,Lain-lainnya
1067,LSP,Dolomit,Butiran (Granular)
1068,HUMIKA,Organik,Tepung (Powder)
1069,FloraOne,Hayati Majemuk,Cair (Liquid)
1070,Pupuk Nusantara MDK,Pupuk Organik,Tepung (Powder)
1071,Logo,Amonium Sulfat (ZA),Lain-lainnya
1072,HUMEGA GRAND,Senyawa Humat,Cair (Liquid)
1073,ZOE BRAVAL,Organik,Cair (Liquid)
1074,HIDROP B1,NPK padat,Tepung (Powder)
1075,NEOPROSILL PRIMA,Lainnya,Tepung (Powder)
1076,FERTICOMP,NPK padat,Butiran (Granular)
1077,PRIMADAP,Lainnya,Butiran (Granular)
1078,EUROSOIL VG3 EDTA,Lainnya,Butiran (Granular)
1079,BRISH WITE NETRALIS,Pupuk Organik,Cair (Liquid)
1080,SATO-KALI+B,Lainnya,Butiran (Granular)
1081,M-BIO PORASI,Hayati Majemuk,Cair (Liquid)
1082,JABAT JAYA,Dolomit,Butiran (Granular)
1083,CBAGROW,Hara Makro Majemuk,Cair (Liquid)
1084,SANTAGROW,Lainnya,Tepung (Powder)
1085,Dolo Natural,Dolomit,Tepung (Powder)
1086,Mentari,NPK padat,Butiran (Granular)
1087,Ghandi Organik,Pupuk Organik,Lain-lainnya
1088,BIORATU,Hayati Majemuk,Butiran (Granular)
1089,javagreen,Pupuk Organik,Cair (Liquid)
1090,TANISOY,Hayati Majemuk,Tepung (Powder)
1091,zamrud VC,NPK padat,Butiran (Granular)
1092,GREEN PANTAS,Hara Makro Majemuk,Cair (Liquid)
1093,KANCIL EMAS,Lainnya,Butiran (Granular)
1094,ZAQ INDONESIA,Pupuk Organik,Cair (Liquid)
1095,Amiboost,Hara Makro Majemuk,Cair (Liquid)
1096,NEO-KRISTALON PAK TANI,NPK padat,Lain-lainnya
1097,KEBOMAS,NPK padat,Butiran (Granular)
1098,AFSHEEN FERTILIZER,Hara Makro Majemuk,Lain-lainnya
1099,FORTANNA,Hara Makro Majemuk,Cair (Liquid)
1100,DONGKEL SEMI,Hayati Majemuk,Cair (Liquid)
1101,SUNBIRD,Ammonium chlorida,Butiran (Granular)
1102,Power Calcium,Lainnya,Cair (Liquid)
1103,PSP 36 SAWAH SUBUR,Fosfat Alam untuk pertanian,Butiran (Granular)
1104,JADI MAS,Fosfat Alam untuk pertanian,Tepung (Powder)
1105,HANTU,Hayati Tunggal,Cair (Liquid)
1106,COCKHEAD,Potassium Nitrat,Butiran (Granular)
1107,MANO - MANO,Lainnya,Cair (Liquid)
1108,BMCATALIZER NUTRIENT UPTAKE BOOSTER,Lainnya,Cair (Liquid)
1109,NITROPHOSKA,Lainnya,Butiran (Granular)
1110,LOONGZOU,Lainnya,Butiran (Granular)
1111,LOONGZOU,Lainnya,Tepung (Powder)
1112,HANTU,Hayati Tunggal,Tepung (Powder)
1113,MIKROBION,Pupuk Organik,Cair (Liquid)
1114,SOLUGRAN,NPK padat,Butiran (Granular)
1115,S-KALI OP+B,Lainnya,Butiran (Granular)
1116,READER X,Dolomit,Butiran (Granular)
1117,PETROPHONK ,NPK padat,Butiran (Granular)
1118,PUPUK NUSANTARA INDONESIA (PNI),NPK padat,Butiran (Granular)
1119,CENDRAWASIH,NPK padat,Butiran (Granular)
1120,MENTARI,Kalium Klorida (KCl),Butiran (Granular)
1121,MerokeMOP,Kalium Klorida (KCl),Butiran (Granular)
1122,BIORIPAH,Hayati Majemuk,Cair (Liquid)
1123,Pasjam Organik,Pupuk Organik,Butiran (Granular)
1124,MAX PLUS,Dolomit,Butiran (Granular)
1125,RBM KALIUM PLUS,Hara Makro Majemuk,Tepung (Powder)
1126,FT,NPK padat,Butiran (Granular)
1127,CAP DAUN,Kalium Klorida (KCl),Tepung (Powder)
1128,LITHIUM ,Hayati Majemuk,Cair (Liquid)
1129,COIN,Hara Micro Tunggal,Butiran (Granular)
1130,COCKHEAD,NPK padat,Butiran (Granular)
1131,mycormas,Hayati Tunggal,Butiran (Granular)
1132,Gandapan Reginae,NPK padat,Tepung (Powder)
1133,CHIPS,Hayati Tunggal,Cair (Liquid)
1134,Mentari,NPK padat,Butiran (Granular)
1135,Orihara,Lainnya,Tepung (Powder)
1136,BASFOLIAR,Lainnya,Cair (Liquid)
1137,Cap Udang Vaname Mas,Dolomit,Tepung (Powder)
1138,GFERT,Triple Super Fosfat (TSP),Butiran (Granular)
1139,PUSRI,NPK padat,Butiran (Granular)
1140,Bananas,NPK padat,Butiran (Granular)
1141,javagreen,Lainnya,Butiran (Granular)
1142,FERTIKALI,Lainnya,Prill
1143,Pohon Gaharu,Hayati Majemuk,Cair (Liquid)
1144,BINTANG TANI,NPK padat,Butiran (Granular)
1145,UNTA,Kalium Klorida (KCl),Butiran (Granular)
1146,SKALA9,Lainnya,Tepung (Powder)
1147,ARTHAGANIK,Pupuk Organik,Cair (Liquid)
1148,Mahkota Fertilizer,NPK padat,Butiran (Granular)
1149,AMONG TANI,NPK padat,Butiran (Granular)
1150,Buah Ndaru,Pupuk Organik,Butiran (Granular)
1151,SOLUTUS,NPK padat,Tepung (Powder)
1152,ORGIB,Hara Makro Majemuk,Cair (Liquid)
1153,ECO LAND,Pupuk Organik,Cair (Liquid)
1154,PAK TANI,NPK padat,Butiran (Granular)
1155,MerokeMIKRO,Hara Micro Tunggal,Tepung (Powder)
1156,ANIG,Pupuk Organik,Butiran (Granular)
1157,S.FLORAN,Lainnya,Cair (Liquid)
1158,NITROPHOSKA,NPK padat,Butiran (Granular)
1159,ABUSYIK PUPUK,Pupuk Organik,Butiran (Granular)
1160,BESTCALCIUM SL,Lainnya,Cair (Liquid)
1161,SPEEDGRO ,NPK padat,Tepung (Powder)
1162,KANIMAS,Lainnya,Butiran (Granular)
1163,Kumbang Mas,Lainnya,Butiran (Granular)
1164,Mahkota,Lainnya,Tepung (Powder)
1165,CAP TAWON,Lainnya,Tepung (Powder)
1166,MIKROBION,Hayati Majemuk,Cair (Liquid)
1167,MICRO ALAM 99 PLUS,Pupuk Organik,Cair (Liquid)
1168,BUAMAX,NPK padat,Butiran (Granular)
1169,CAP TAWON,NPK padat,Butiran (Granular)
1170,HARACOAT,Amonium Sulfat (ZA),Butiran (Granular)
1171,Mahkota Fertilizer,Kalium Klorida (KCl),Butiran (Granular)
1172,BOP 8,Hara Micro Premier Tunggal,Tepung (Powder)
1173,OKURA EMAS,NPK padat,Butiran (Granular)
1174,BACTEGROWTH,Hayati Majemuk,Tepung (Powder)
1175,LAO YING,Lainnya,Butiran (Granular)
1176,HX-AS,Amonium Sulfat (ZA),Lain-lainnya
1177,suburmandiri,NPK padat,Butiran (Granular)
1178,D'BOOSTERFER,Pupuk Organik,Cair (Liquid)
1179,KENCANA MAS,Dolomit,Tepung (Powder)
1180,SanBlend,NPK padat,Butiran (Granular)
1181,MULTIDAYA,NPK padat,Butiran (Granular)
1182,NUMERO UNO,Hara Makro Majemuk,Cair (Liquid)
1183,MENTARI,Triple Super Fosfat (TSP),Butiran (Granular)
1184,NITROPHOSKA,NPK padat,Butiran (Granular)
1185,AGRITAMA,NPK padat,Butiran (Granular)
1186,javagreen,Amonium Sulfat (ZA),Butiran (Granular)
1187,GOLDEN LAND,NPK padat,Butiran (Granular)
1188,MAHKOTA SAWIT,Dolomit,Butiran (Granular)
1189,GREENSUPE,Lainnya,Tepung (Powder)
1190,MAMIGRO,NPK padat,Tepung (Powder)
1191,PAK TANI,NPK padat,Butiran (Granular)
1192,PANENTAS,Pupuk Organik,Cair (Liquid)
1193,AMINOMAX,Pupuk Organik,Cair (Liquid)
1194,Hi-Kay Bio,Lainnya,Butiran (Granular)
1195,Lembu Lestari,Hayati Majemuk,Cair (Liquid)
1196,DUMILAH,Dolomit,Tepung (Powder)
1197,NutriGrown,Fosfat Alam untuk pertanian,Butiran (Granular)
1198,BUNGA TULIP,NPK padat,Butiran (Granular)
1199,G ASRI JJMI,Lainnya,Cair (Liquid)
1200,GREEN SOLUSI,Lainnya,Cair (Liquid)
1201,testmenungsa,Dolomit,Pelet
1202,ENTEC,NPK padat,Butiran (Granular)
1203,DAUN BUAH,Urea,Butiran (Granular)
1204,Biodex,Hayati Majemuk,Tepung (Powder)
1205,JATI WANGI,NPK padat,Butiran (Granular)
1206,Maxipro,Hara Makro Majemuk,Lain-lainnya
1207,P-07,Pupuk Organik,Butiran (Granular)
1208,SJS ,Fosfat Alam untuk pertanian,Butiran (Granular)
1209,Biofarm,Pupuk Organik,Cair (Liquid)
1210,YIELDER,NPK padat,Butiran (Granular)
1211,SELARAS ULTIMATE,Pupuk Organik,Tepung (Powder)
1212,MIKROHARA,Lainnya,Tepung (Powder)
1213,BINTANG TANI,Lainnya,Butiran (Granular)
1214,GREEN-TAMA,Hara Makro Majemuk,Cair (Liquid)
1215,KEBOMAS,NPK padat,Butiran (Granular)
1216,AGROVITA TOP ,Lainnya,Cair (Liquid)
1217,PALMO,Lainnya,Butiran (Granular)
1218,Mahkota Fertilizer,Lainnya,Butiran (Granular)
1219,SPEEDGRO ,NPK padat,Butiran (Granular)
1220,NOVA,Mono Potassium Phosphate,Lain-lainnya
1221,Thoyyibatun,Pupuk Organik,Cair (Liquid)
1222,M-21,Organik,Cair (Liquid)
1223,Kubantu,Hayati Majemuk,Cair (Liquid)
1224,AKASIA,Kalium Klorida (KCl),Butiran (Granular)
1225,CHALLON,Hara Makro Majemuk,Tepung (Powder)
1226,KEBOMAS,NPK padat,Butiran (Granular)
1227,TZP PLUS,Zeolit,Butiran (Granular)
1228,PALMIC,Lainnya,Butiran (Granular)
1229,IMPETUS,NPK padat,Butiran (Granular)
1230,BM AZOMITE,Lainnya,Tepung (Powder)
1231,BIOTANI PLUS,Hayati Majemuk,Tepung (Powder)
1232,SPN,Hara Makro Majemuk,Cair (Liquid)
1233,Mantus,Lainnya,Cair (Liquid)
1234,GMN,Hayati Majemuk,Tepung (Powder)
1235,INTERFLOR,NPK padat,Butiran (Granular)
1236,DEMITRI22,Hayati Majemuk,Cair (Liquid)
1237,DAUN SAWIT,Lainnya,Butiran (Granular)
1238,YARA MAX,NPK padat,Butiran (Granular)
1239,SEINT,Lainnya,Cair (Liquid)
1240,BENDERA,Dolomit,Tepung (Powder)
1241,HALEI+,NPK padat,Lain-lainnya
1242,Pupuk Indonesia Holding Company Nitrea,Urea,Prill
1243,CALTIVATE,Lainnya,Cair (Liquid)
1244,MAKROSTAR,NPK padat,Butiran (Granular)
1245,D'BOOSTERFER,Hayati Majemuk,Cair (Liquid)
1246,andaEXTRA-K,Lainnya,Cair (Liquid)
1247,MALANG GREEN KING,Lainnya,Cair (Liquid)
1248,TOP ZINK,Lainnya,Tepung (Powder)
1249,suburmandiri,NPK padat,Butiran (Granular)
1250,PALMO,NPK padat,Lain-lainnya
1251,BUKIT BARISAN ,Lainnya,Butiran (Granular)
1252,GG-1000,Dolomit,Tepung (Powder)
1253,PETRO PONIC,Lainnya,Cair (Liquid)
1254,ACTIFOL,Lainnya,Cair (Liquid)
1255,RED MATADOR,NPK padat,Tepung (Powder)
1256,TROBOS,Lainnya,Cair (Liquid)
1257,PREMINO,Pupuk Organik,Cair (Liquid)
1258,AZZA,Dolomit,Tepung (Powder)
1259,TaBurMas,Pupuk Organik,Cair (Liquid)
1260,MULTIDAYA,NPK padat,Butiran (Granular)
1261,BENASIL,Hara Makro Majemuk,Cair (Liquid)
1262,LAO YING,Lainnya,Butiran (Granular)
1263,X-ZO,Lainnya,Cair (Liquid)
1264,MPK,Dolomit,Butiran (Granular)
1265,OBOR,Kalium Klorida (KCl),Tepung (Powder)
1266,SUNTEK2000,Lainnya,Cair (Liquid)
1267,MENTARI,Kalium Klorida (KCl),Butiran (Granular)
1268,Agrodyke,Pupuk Organik,Tepung (Powder)
1269,LAPAN HARSA ,NPK padat,Butiran (Granular)
1270,Amiboost,Hara Makro Majemuk,Cair (Liquid)
1271,PRIMATAN,Hara Makro Majemuk,Cair (Liquid)
1272,PROTONMAXX,Lainnya,Cair (Liquid)
1273,Eco Fish,Hayati Majemuk,Cair (Liquid)
1274,Hyper KCL,Lainnya,Cair (Liquid)
1275,MKP PAK TANI,Lainnya,Lain-lainnya
1276,SPLASH,Pupuk Organik,Cair (Liquid)
1277,BIO TAKEMI 100,Pupuk Organik,Butiran (Granular)
1278,AMBITION SECURE,Hara Makro Majemuk,Lain-lainnya
1279,Bestprint,Kaptan,Tepung (Powder)
1280,AKASIA,Lainnya,Lain-lainnya
1281,Optima Solution,Hayati Tunggal,Cair (Liquid)
1282,GANO T,Hayati Tunggal,Tepung (Powder)
1283,Daun Sawit,Kalium Klorida (KCl),Tepung (Powder)
1284,BM OPTIMAS KELP,Lainnya,Cair (Liquid)
1285,NUTRIPLAN,Lainnya,Tepung (Powder)
1286,PHOSGRO,Fosfat Alam untuk pertanian,Butiran (Granular)
1287,Soil Plus,Pupuk Organik,Cair (Liquid)
1288,SiNutriHS,NPK padat,Butiran (Granular)
1289,SIDO PANEN,Pupuk Organik,Butiran (Granular)
1290,RUMOS,Hayati Majemuk,Cair (Liquid)
1291,RAJAPHOSKA RAYA,Dolomit,Butiran (Granular)
1292,ENKU,Urea,Butiran (Granular)
1293,SANTAGROW CARATE,Lainnya,Butiran (Granular)
1294,ADS,Dolomit,Tepung (Powder)
1295,AFIAT,NPK padat,Butiran (Granular)
1296,PURNAMA BIO,Pupuk Organik,Tepung (Powder)
1297,BIO Fulvac,Pupuk Organik,Tepung (Powder)
1298,UNTA,Amonium Sulfat (ZA),Butiran (Granular)
1299,DAUN DEWA,Dolomit,Butiran (Granular)
1300,Bellagio,NPK padat,Tepung (Powder)
1301,ORBIOS,Pupuk Organik,Cair (Liquid)
1302,RAJABIO,Pupuk Organik,Cair (Liquid)
1303,BASIMBAH TANI,Pupuk Organik,Tepung (Powder)
1304,Mahkota Fertilizer,Lainnya,Tepung (Powder)
1305,SEMESTA,Lainnya,Tepung (Powder)
1306,ZNURECOTE,Lainnya,Prill
1307,PETRHIKAPHOS,Hayati Majemuk,Tepung (Powder)
1308,saNKay,Hara Makro Majemuk,Butiran (Granular)
1309,OZUL,Hayati Majemuk,Cair (Liquid)
1310,TCCC,NPK padat,Butiran (Granular)
1311,Mahkota Fertilizer,NPK padat,Butiran (Granular)
1312,FORSIL,Lainnya,Cair (Liquid)
1313,KELIUM 48,Lainnya,Cair (Liquid)
1314,SUPERGANIK,Pupuk Organik,Butiran (Granular)
1315,AGRIVERE,Pupuk Organik,Butiran (Granular)
1316,PAK TANI,NPK padat,Butiran (Granular)
1317,KS PAK TANI,Calsium Nitrat,Butiran (Granular)
1318,BHOSKA PLUS,Lainnya,Butiran (Granular)
1319,EmiraGrow,Dolomit,Butiran (Granular)
1320,DUNIA HIJAU,Pupuk Organik,Butiran (Granular)
1321,COCKHEAD,Potassium Nitrat,Butiran (Granular)
1322,TIARA,Lainnya,Butiran (Granular)
1323,Rock Phosphate / JADI MAS,Fosfat Alam untuk pertanian,Tepung (Powder)
1324,SanBlend,NPK padat,Butiran (Granular)
1325,UTAH,NPK padat,Butiran (Granular)
1326,PHONIKA,NPK padat,Butiran (Granular)
1327,HikayPlus,NPK padat,Butiran (Granular)
1328,MAG-OXIS,Lainnya,Butiran (Granular)
1329,PALMO,NPK padat,Lain-lainnya
1330,QIUVITA,Pembenah Tanah,Tepung (Powder)
1331,ZIMAXX,Lainnya,Tepung (Powder)
1332,CAP TAWON,NPK padat,Butiran (Granular)
1333,TIM FOLIUP,Lainnya,Cair (Liquid)
1334,BooskaMax 1,Hara Makro Majemuk,Cair (Liquid)
1335,CELLTILIZER,Pupuk Organik,Tepung (Powder)
1336,KUSUMA ARGOPUNDI,Hara Makro Majemuk,Lain-lainnya
1337,GoldenGreen,Senyawa Humat,Cair (Liquid)
1338,AFIAT,NPK padat,Butiran (Granular)
1339,INFARM MIRACLE POWDER,Senyawa Humat,Lain-lainnya
1340,Mahkota Fertilizer,Lainnya,Butiran (Granular)
1341,PADIVIT,NPK padat,Tepung (Powder)
1342,KELOPAK DUNIA,Dolomit,Tepung (Powder)
1343,NATURES99,NPK padat,Butiran (Granular)
1344,sodho,Lainnya,Cair (Liquid)
1345,BACTENIC,Pupuk Organik,Butiran (Granular)
1346,DGW,NPK padat,Butiran (Granular)
1347,GREENSTAR,Pupuk Organik,Tepung (Powder)
1348,PENDOWO,Kalium Klorida (KCl),Tepung (Powder)
1349,LOONGZOU,Kalium Klorida (KCl),Butiran (Granular)
1350,GSP 36 DAUN MAS,Dolomit,Butiran (Granular)
1351,KEBOMAS,NPK padat,Butiran (Granular)
1352,tunas tani,Lainnya,Butiran (Granular)
1353,Pupuk Indonesia Holding Company Phonska Plus,NPK padat,Butiran (Granular)
1354,GAZA,Lainnya,Cair (Liquid)
1355,VITCAL,Kaptan,Tepung (Powder)
1356,CAKRA PANDAWA,Lainnya,Butiran (Granular)
1357,CIPMAPE,NPK padat,Butiran (Granular)
1358,COCKHEAD,Potassium Nitrat,Butiran (Granular)
1359,testssl,Hayati Majemuk,Pelet
1360,Nutree-V,Hayati Majemuk,Cair (Liquid)
1361,FT,Hara Makro Majemuk,Butiran (Granular)
1362,BIO 88,Pupuk Organik,Cair (Liquid)
1363,SOILMATE,NPK padat,Butiran (Granular)
1364,AGRIMORE-P,NPK padat,Butiran (Granular)
1365,GREEN TONIK,Hara Makro Majemuk,Cair (Liquid)
1366,AFIAT,Dolomit,Tepung (Powder)
1367,Enero,Hayati Majemuk,Cair (Liquid)
1368,MENTARI,Kalium Klorida (KCl),Butiran (Granular)
1369,YARAMILA COMPLEX,NPK padat,Butiran (Granular)
1370,PAK TANI,NPK padat,Butiran (Granular)
1371,OKURA EMAS,NPK padat,Butiran (Granular)
1372,HARACOAT MX,NPK padat,Butiran (Granular)
1373,P2O,Hayati Majemuk,Cair (Liquid)
1374,VITAMIN FLORA,Lainnya,Cair (Liquid)
1375,BILLIZER,NPK padat,Butiran (Granular)
1376,Koeda Phos,Fosfat Alam untuk pertanian,Butiran (Granular)
1377,Mahkota Fertilizer,NPK padat,Butiran (Granular)
1378,NITRABLUE,Lainnya,Prill
1379,Multidaya,Hayati Majemuk,Cair (Liquid)
1380,Mg Sukana,Lainnya,Lain-lainnya
1381,SUMMA SP,Lainnya,Cair (Liquid)
1382,AGROACCURAT,Hara Makro Majemuk,Cair (Liquid)
1383,HARACOAT,NPK padat,Butiran (Granular)
1384,BAHARI,Dolomit,Butiran (Granular)
1385,FITOMEX,Lainnya,Cair (Liquid)
1386,Bio-Unggul,Pupuk Organik,Butiran (Granular)
1387,GreenWay,Hayati Tunggal,Cair (Liquid)
1388,DAUN SAWIT,Lainnya,Tepung (Powder)
1389,Nitrea,Urea,Prill
1390,N-ZYM,Lainnya,Cair (Liquid)
1391,MAX-SIL,Lainnya,Lain-lainnya
1392,ALAM HIJAU BALIMBING,Pupuk Organik,Butiran (Granular)
1393,Ecoganic,Pupuk Organik,Butiran (Granular)
1394,TANIKA,Hayati Majemuk,Tepung (Powder)
1395,BOMOYA,Lainnya,Cair (Liquid)
1396,VERTI,Lainnya,Cair (Liquid)
1397,MABAR,Pupuk Organik,Tepung (Powder)
1398,MycoVir,Hayati Tunggal,Butiran (Granular)
1399,RAJA BUAH,Hara Makro Majemuk,Tepung (Powder)
1400,HANTU,Pupuk Organik,Cair (Liquid)
1401,PUHAY GOLD,Pupuk Organik,Lain-lainnya
1402,PELANGI,NPK padat,Butiran (Granular)
1403,HIMA,Dolomit,Tepung (Powder)
1404,HANOMAN 31070S,Organik,Cair (Liquid)
1405,CENTRAGROW,Hara Makro Majemuk,Cair (Liquid)
1406,JADI MAS,NPK padat,Butiran (Granular)
1407,LAKABA,Hara Micro Premier Tunggal,Butiran (Granular)
1408,HX-UREA,Urea,Prill
1409,DUA BINTANG,Pupuk Organik,Butiran (Granular)
1410,Rahwana,Hayati Majemuk,Tepung (Powder)
1411,NEO KRISTALON,NPK padat,Tepung (Powder)
1412,RealStrong,Hara Makro Majemuk,Pelet
1413,HumicGEN,Organik,Tepung (Powder)
1414,MENTARI,Kalium Klorida (KCl),Butiran (Granular)
1415,ERSAFOS SPr 29,Dolomit,Butiran (Granular)
1416,E-Plus 1-0-1,Hayati Majemuk,Tablet
1417,Daun Sawit,Hara Micro Tunggal,Tepung (Powder)
1418,Forest Care,NPK padat,Lain-lainnya
1419,Mahkota,NPK padat,Butiran (Granular)
1420,ECO PEST BIO,Pupuk Organik,Cair (Liquid)
1421,FoliarelOK,Lainnya,Tepung (Powder)
1422,FELO,NPK padat,Tepung (Powder)
1423,SK COTE,NPK padat,Butiran (Granular)
1424,KANIMAS,Lainnya,Butiran (Granular)
1425,J.E,Pupuk Organik,Cair (Liquid)
1426,PAMORGANIK MAS,Pupuk Organik,Lain-lainnya
1427,CALBOVIT,Kaptan,Tepung (Powder)
1428,FT,Amonium Sulfat (ZA),Tepung (Powder)
1429,SUMICOAT,NPK padat,Butiran (Granular)
1430,BESTICO INSECT FRASS,Pupuk Organik,Lain-lainnya
1431,Cap Bunga Merah,NPK padat,Butiran (Granular)
1432,Buah Ndaru,Organik,Cair (Liquid)
1433,DAME,Pupuk Organik,Tepung (Powder)
1434,HYDROFARM,Pupuk Organik,Lain-lainnya
1435,MULTIERA ,NPK padat,Butiran (Granular)
1436,PALMIC,Lainnya,Butiran (Granular)
1437,MAHADUTA PLUS,Lainnya,Tepung (Powder)
1438,OSMOCOTE ,NPK padat,Butiran (Granular)
1439,CAP GARUDA,Lainnya,Butiran (Granular)
1440,LOONGZOU,Fosfat Alam untuk pertanian,Tepung (Powder)
1441,Cap Bunga Merah,NPK padat,Butiran (Granular)
1442,Sakha SR,Lainnya,Tepung (Powder)
1443,NATURAL,Kaptan,Tepung (Powder)
1444,NovaCu,Hara Micro Tunggal,Tepung (Powder)
1445,BIOTEK,Hayati Majemuk,Cair (Liquid)
1446,OBOR,Lainnya,Tepung (Powder)
1447,HORTIMAS,NPK padat,Tepung (Powder)
1448,IKAN PAUS,Fosfat Alam untuk pertanian,Tepung (Powder)
1449,LAO YING,Lainnya,Butiran (Granular)
1450,Ferti Best,NPK padat,Butiran (Granular)
1451,MerokeFLEX-G,NPK padat,Lain-lainnya
1452,ROBUST,Hayati Tunggal,Cair (Liquid)
1453,SIDAPHONK,NPK padat,Butiran (Granular)
1454,BHOSKA,Dolomit,Butiran (Granular)
1455,FERTIGROW C+,Pupuk Organik,Butiran (Granular)
1456,JADI MAS,Kalium Klorida (KCl),Lain-lainnya
1457,D'BOOSTERFER,Dolomit,Tepung (Powder)
1458,GANDATAN-D,NPK padat,Tepung (Powder)
1459,KALINET,Lainnya,Cair (Liquid)
1460,AGRO MULIA,Kaptan,Tepung (Powder)
1461,BIOWINSI,Pupuk Organik,Cair (Liquid)
1462,FERTIPHOS,Lainnya,Butiran (Granular)
