,brand,jenis,bentuk_formula
178,AJO BEST,Hara Makro Majemuk,Cair (Liquid)
179,ROJO NUSANTORO,Pupuk Organik,Butiran (Granular)
180,Evermax Borate Fertilizer,Lainnya,Butiran (Granular)
181,CAP TAWON,NPK padat,Butiran (Granular)
182,ZENCROP ALGI,Lainnya,Cair (Liquid)
183,Sawitree,NPK padat,Batang (Stick)
184,S-KALI SPECIAL OP+B,NPK padat,Butiran (Granular)
185,FINEST-K,Lainnya,Cair (Liquid)
186,BIOHEALTH,Pupuk Organik,Tepung (Powder)
187,Mahkota Fertilizer,Lainnya,Butiran (Granular)
188,BIOFAST,Pupuk Organik,Cair (Liquid)
189,GOODGROW,Lainnya,Cair (Liquid)
190,PEPETANI,Pupuk Organik,Cair (Liquid)
191,ZK PLUS,Pupuk Organik,Cair (Liquid)
192,BINTANG TANI,NPK padat,Butiran (Granular)
193,KANCIL EMAS,NPK padat,Butiran (Granular)
194,Mahkota Fertilizer,Lainnya,Butiran (Granular)
195,DL 80,Kaptan,Tepung (Powder)
196,PADI SAWIT PELANGI,Dolomit,Butiran (Granular)
197,CAP TAWON,Ammonium chlorida,Butiran (Granular)
198,AGRONOUS,NPK padat,Butiran (Granular)
199,nagamas,Pupuk Organik,Tepung (Powder)
200,ZEOLICA,Zeolit,Butiran (Granular)
201,Ramosdo®Top,Pupuk Organik,Cair (Liquid)
202,Sari Alam Nusantara (SAN),Pupuk Organik,Tepung (Powder)
203,CAKRA,Hara Makro Majemuk,Butiran (Granular)
204,SAPONINKU,Pupuk Organik,Lain-lainnya
205,Vi-Reall,Lainnya,Cair (Liquid)
206,PORVINA,Organik,Cair (Liquid)
207,PUTANIK PLUS,Pupuk Organik,Cair (Liquid)
208,VERZER 21 ,Lainnya,Lain-lainnya
209,Palgreen,Lainnya,Cair (Liquid)
210,N-RICH,Kalium Klorida (KCl),Tepung (Powder)
211,AGUNG LENGKAP PRATAMA,Hara Makro Majemuk,Butiran (Granular)
212,XPK FERTILIZER,Pupuk Organik,Butiran (Granular)
213,KEBOMAS,NPK padat,Butiran (Granular)
214,SNN Super Natural Nutrition,Pupuk Organik,Cair (Liquid)
215,SK COTE,NPK padat,Butiran (Granular)
216,coda,Hara Makro Majemuk,Cair (Liquid)
217,MG BRUCITE PLUS,Lainnya,Butiran (Granular)
218,ZETAGRO,Pupuk Organik,Tepung (Powder)
219,KEBOMAS,NPK padat,Butiran (Granular)
220,SULPHURIZ,Lainnya,Tepung (Powder)
221,BIOALOVE,Hayati Majemuk,Cair (Liquid)
222,BLAUKORN,NPK padat,Butiran (Granular)
223,NO-TA-YAM,Pupuk Organik,Tepung (Powder)
224,PULLET,NPK padat,Butiran (Granular)
225,NITROKAL,Hara Makro Majemuk,Prill
226,BELLARUSIA,NPK padat,Butiran (Granular)
227,Super Surya Alami,Pupuk Organik,Cair (Liquid)
228,MariVit,Lainnya,Cair (Liquid)
229,SAN NUTRISOIL,Senyawa Humat,Cair (Liquid)
230,ALBIO,Hayati Majemuk,Cair (Liquid)
231,D.I. GROW RED,Pupuk Organik,Cair (Liquid)
232,GTSP 36 Padi Unggul,Dolomit,Butiran (Granular)
233,Pelangi,NPK padat,Butiran (Granular)
234,LAKABA,Lainnya,Butiran (Granular)
235,NODUL PLUS,Hayati Majemuk,Cair (Liquid)
236,Mahkota,Lainnya,Butiran (Granular)
